"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"… is futile"": How university programming instructors plan to adapt as more students use AI code generation and explanation tools such as ChatGPT and GitHub Copilot","https://scispace.com/paper/sxiSEMNK0ncJ","","","","S Lau
P Guo","","https://dl.acm.org/doi/pdf/10.1145/3568813.3600138","… GitHub Copilot AI code generation tool [35] launched after a year in private beta. In late November 2022, the ChatGPT … Microsoft and Google announced ChatGPT-like conversational AI …",""
"Large Language Models for Code Generation and Program Comprehension: Exploring Capabilities, Context, and Developer Adaptation","https://scispace.com/paper/Z6dlwBtpiAUJ","","","","MM Billah","","https://harvest.usask.ca/bitstreams/67756182-8202-4b1c-91e0-b507168b8d8f/download","… To evaluate its real-world applicability, we integrated the approach into GitHub Copilot Chat using a copilot-instructions.md file. This setup enabled adaptive summarization through two …",""
"Comparative Study of Code Generation by AI Models","https://scispace.com/paper/comparative-study-of-code-generation-by-ai-models-n3var1sp3p99","2025","Proceedings Article","","Abhinaya Panthi
Aayush Khanal
Kiran Sharma","10.1109/iccrtee64519.2025.11052899","","… comparative performance of AI generated code using ChatGPT versus human-written code on several measures of code quality and readability. The results show that while ChatGPT-…",""
"Conversational AI as a Coding Assistant: Understanding Programmers' Interactions with and Expectations from Large Language Models for Coding","https://scispace.com/paper/conversational-ai-as-a-coding-assistant-understanding-8rn3suuniyhr","2025","Journal Article","arXiv.org","Mehmet Akhoroz
Caglar Yildirim","10.48550/arxiv.2503.16508","https://arxiv.org/pdf/2503.16508","… ) such as ChatGPT, Claude, and GitHub Copilot have rapidly … natural language dialogues for code generation, debugging, and … The increasing adoption of LLM-based coding assistants …",""
"Experiences and challenges in AI-driven modular software development using large language models for code generation","https://scispace.com/paper/experiences-and-challenges-in-ai-driven-modular-software-48p8nmp4le3t","2024","Journal Article","","Şadi Evren Şeker","10.22541/au.172871465.54826063/v1","https://www.authorea.com/doi/pdf/10.22541/au.172871465.54826063","… • ChatGPT: ChatGPT excelled in understanding complex natural language prompts and … -line code generation comparable to more advanced LLMs like ChatGPT or GitHub Copilot. Its …",""
"Is your code generated by chatgpt really correct? rigorous evaluation of large language models for code generation","https://scispace.com/paper/is-your-code-generated-by-chatgpt-really-correct-rigorous-1lvo40r8","2023","Journal Article","arXiv.org","Jiawei Liu
Chun Xia
Lingming Zhang","10.48550/arXiv.2305.01210","https://proceedings.neurips.cc/paper_files/paper/2023/file/43e9d647ccd3e4b7b5baab53f0368686-Paper-Conference.pdf","… evaluation across 26 popular LLMs (eg, GPT-4 and ChatGPT… -CodeLlama now outperform ChatGPT on HUMANEVAL +, … synthesis evaluation results do not accurately reflect the true …","Program synthesis has been long studied with recent approaches focused on directly using the power of Large Language Models (LLMs) to generate code. Programming benchmarks, with curated synthesis problems and test-cases, are used to measure the performance of various LLMs on code synthesis. However, these test-cases can be limited in both quantity and quality for fully assessing the functional correctness of the generated code. Such limitation in the existing benchmarks begs the following question: In the era of LLMs, is the code generated really correct? To answer this, we propose EvalPlus -- a code synthesis benchmarking framework to rigorously evaluate the functional correctness of LLM-synthesized code. EvalPlus augments a given evaluation dataset with large amounts of test-cases newly produced by an automatic test input generator, powered by both LLM- and mutation-based strategies. While EvalPlus is general, we extend the test-cases of the popular HUMANEVAL benchmark by 81x to build HUMANEVAL+. Our extensive evaluation across 19 popular LLMs (e.g., GPT-4 and ChatGPT) demonstrates that HUMANEVAL+ is able to catch significant amounts of previously undetected wrong code synthesized by LLMs, reducing the pass@k by 13.6-15.3% on average. Our work not only indicates that prior popular code synthesis evaluation results do not accurately reflect the true performance of LLMs for code synthesis, but also opens up a new direction to improve such programming benchmarks through automated testing."
"Use of AI-driven Code Generation Models in Teaching and Learning Programming","https://scispace.com/paper/BCV77VJt_XwJ","","","","D Cambaz","","https://repository.tudelft.nl/file/File_63d2dc94-539c-4acf-a0a0-fd741ce96000","… search terms from the research questions, then listing their synonyms, and also by including specific large language models or code generation tools like ChatGPT and Github Copilot. …",""
"A comparison of the effectiveness of chatgpt and co-pilot for generating quality python code solutions","https://scispace.com/paper/a-comparison-of-the-effectiveness-of-chatgpt-and-co-pilot-53sniuj4bd9f","2024","Journal Article","","Nikos Nikolaidis
Karolos Flamos
Khanak Gulati
Daniel Feitosa
Apostolos Ampatzoglou
Alexander Chatzigeorgiou","10.1109/saner-c62648.2024.00018","https://research.rug.nl/files/1145083793/A_Comparison_of_the_Effectiveness_of_ChatGPT_and_Co-Pilot_for_Generating_Quality_Python_Code_Solutions.pdf","… For RQ1, we employed a combination of quantitative and qualitative analyses to evaluate the effectiveness of Copilot and ChatGPT in Python code generation. This includes examining …","Artificial intelligence (AI) has become increasingly popular in software development to automate tasks and improve efficiency. AI has the potential to help while developing or maintaining software, in the sense that it can produce solutions out of a textual requirement specification, and understand code to provide suggestion on how a new requirement could be implemented. In this paper, we focus on the first scenario. Two AI-powered tools that have the potential to revolutionize the way software is developed are OpenAI's ChatGPT and GitHub's Copilot. In this paper, we used LeetCode, a popular platform for technical interview preparation and personal upskilling (self-learning), to evaluate the effectiveness of ChatGPT and Copilot on a set of coding problems, along with ChatGPT's ability to correct itself when provided with feedback. The analysis of the effectiveness can lead to various conclusions, such as on if these solutions are ready to take over coding roles, and to what extent several parameters (difficulty and quality requirements) influence this result. Solutions have been generated for 60 problems using ChatGPT and Copilot, for the Python programming language. We investigated the performance of the models, the recurrent kinds of errors, and the resulting code quality. The evaluation revealed that ChatGPT and Copilot can be effective tools for generating code solutions for easy problems while both models are prone to syntax and semantic errors. Small improvements are observed for ode quality metrics across iterations, although the improvement pattern is not consistently monotonic, questioning ChatGPT's awareness of the quality of its own solutions. Nevertheless, the improvement that was found along iterations, highlights the potential of AI and humans, acting as partners, in providing the optimal combination. The two models demonstrate a limited capacity for understanding context. Although AI-powered coding tools driven by large language models have the potential to assist developers in their coding tasks, they should be used with caution and in conjunction with human coding expertise. Developer intervention is necessary not only to debug errors but also to ensure high-quality and optimized code."
"The impact of ai-generated code on web development: A comparative study of chatgpt and github copilot","https://scispace.com/paper/_W5og-g01EQJ","","","","E Fajkovic
E Rundberg","","https://www.diva-portal.org/smash/get/diva2:1769082/FULLTEXT01.pdf","… ChatGPT’s and GitHub Copilot’s capabilities and limitations by examining factors such as efficiency during production, and the maintainability … with using ChatGPT for code generation, …",""
"Evaluating LLMs for code generation in HRI: A comparative study of ChatGPT, gemini, and claude","https://scispace.com/paper/evaluating-llms-for-code-generation-in-hri-a-comparative-11fvspfuqr28","2024","Journal Article","Applied Artificial Intelligence","Andrei Sobo
Abdul Mubarak
Almas Baimagambetov
Nikolaos Polatidis","10.1080/08839514.2024.2439610","https://www.tandfonline.com/doi/pdf/10.1080/08839514.2024.2439610","… to complex object manipulation scenarios, we evaluate the models’ ability to … performance, with Claude 3.5 Sonnet achieving a 95% success rate, Gemini 1.5 Pro at 60%, and ChatGPT …","This study investigates the effectiveness of Large Language Models (LLMs) in generating code for Human-Robot Interaction (HRI) applications. We present the first direct comparison of ChatGPT 3.5, Gemini 1.5 Pro, and Claude 3.5 Sonnet in the specific context of generating code for Human-Robot Interaction applications. Through a series of 20 carefully designed prompts, ranging from simple movement commands to complex object manipulation scenarios, we evaluate the models' ability to generate accurate and context-aware code. Our findings reveal significant variations in performance, with Claude 3.5 Sonnet achieving a 95% success rate, Gemini 1.5 Pro at 60%, and ChatGPT 3.5 at 20%. The study highlights the rapid advancement in LLM capabilities for specialized programming tasks while also identifying persistent challenges in spatial reasoning and adherence to specific constraints. These results suggest promising applications for LLMs in robotics development and education while emphasizing the continued need for human oversight and specialized training in AI-assisted programming for HRI. "
"Learn AI-assisted Python programming: with github copilot and ChatGPT","https://scispace.com/paper/j4k620FZID4J","","","","L Porter
D Zingaro","","","… What you see from GitHub Copilot may not match what you see in this book. GitHub Copilot is … More than that, GitHub Copilot is nondeterministic, which means that if you ask it to solve …",""
"Evaluation of the code generated by large language models: The state of the art","https://scispace.com/paper/evaluation-of-the-code-generated-by-large-language-models-1ynd91sgsu6x","2025","Proceedings Article","","Zhihao Ying
Dave Towey
Yifan Zhang","10.1109/compsac65507.2025.00064","https://www.researchgate.net/profile/Yifan-Zhang-58/publication/394981397_Evaluation_of_the_Code_Generated_By_Large_Language_Models_The_State_of_the_Art/links/68b6a923ca495d769831f029/Evaluation-of-the-Code-Generated-By-Large-Language-Models-The-State-of-the-Art.pdf","… In conclusion, while LLMs like ChatGPT have demonstrated well performance in code generation, their integration into software-development workflows must be approached with …",""
"Learn to code sustainably: An empirical study on llm-based green code generation","https://scispace.com/paper/learn-to-code-sustainably-an-empirical-study-on-llm-based-as9x50nb63","2024","Journal Article","arXiv.org","Tina Vartziotis
Ippolyti Dellatolas
George Dasoulas
Maximilian Schmidt
Florian Schneider
Tim Hoffmann
Sotirios D. Kotsopoulos
Michael Keckeisen","10.48550/arxiv.2403.03344","https://arxiv.org/pdf/2403.03344","… We observe that in multiple cases, CodeWhisperer and ChatGPT fail to produce or optimize codes (for 3 and 4 coding problems, respectively) based on this sustainability metric. On the …","The increasing use of information technology has led to a significant share of energy consumption and carbon emissions from data centers. These contributions are expected to rise with the growing demand for big data analytics, increasing digitization, and the development of large artificial intelligence (AI) models. The need to address the environmental impact of software development has led to increased interest in green (sustainable) coding and claims that the use of AI models can lead to energy efficiency gains. Here, we provide an empirical study on green code and an overview of green coding practices, as well as metrics used to quantify the sustainability awareness of AI models. In this framework, we evaluate the sustainability of auto-generated code. The auto-generate codes considered in this study are produced by generative commercial AI language models, GitHub Copilot, OpenAI ChatGPT-3, and Amazon CodeWhisperer. Within our methodology, in order to quantify the sustainability awareness of these AI models, we propose a definition of the code's""green capacity"", based on certain sustainability metrics. We compare the performance and green capacity of human-generated code and code generated by the three AI language models in response to easy-to-hard problem statements. Our findings shed light on the current capacity of AI models to contribute to sustainable software development."
"Integration of AI-assisted Code Generation in Programming Assessments","https://scispace.com/paper/nGurDSFQJ6EJ","","","","I Cheheb","","https://figshare.edgehill.ac.uk/articles/poster/Integration_of_AI-assisted_Code_Generationin_Programming_Assessments/25202681/1/files/44501558.pdf","… via Conversational AI tools such as OpenAI’s ChatGPT and Google’s Bard has taken the world … writing are also appearing such as Github Copilot and Amazon Code Whisperer that are …",""
"A Multi-Dimensional Quality Evaluation of Code Generated by LLM-Based Tools Across Multiple Programming Languages","https://scispace.com/paper/7WOUYqzTVbsJ","","","","R Li
R Mo
Y Zeng
Z Liu
Z Li
Y Ma","","https://dl.acm.org/doi/pdf/10.1145/3800582","… code quality … evaluations of these tools’ code quality remain limited. In this paper, we conduct a systematic comparison of five mainstream code generation tools, including GitHub Copilot…",""
"Assessment on the effectiveness of github copilot as a code assistance tool: an empirical study","https://scispace.com/paper/assessment-on-the-effectiveness-of-github-copilot-as-a-code-1ib6t5oj32n5","","Journal Article","","Carlos Adriano Gonçalves
Célia Talma Martins de Pinho Valente Oliveira Gonçalves","10.1007/978-3-031-73503-5_3","","… , which potentially introduces errors or vulnerabilities during the code generation process [9, 10]. With this work, we aim to empirically study if GitHub Copilot, as a pair programming tool, …",""
"The recent trends of research on GitHub copilot: A systematic review","https://scispace.com/paper/the-recent-trends-of-research-on-github-copilot-a-systematic-43aj6yifov","2024","Book Chapter","Communications in computer and information science","Zhamri Che Ani
Zauridah Abdul Hamid
Nur Nazifa Zhamri","10.1007/978-981-99-9589-9_27","","… GitHub Copilot is an AI-powered code generation tool developed by OpenAI and GitHub that has gained significant attention from the software engineering community. Despite the …","GitHub Copilot is an AI-powered code generation tool developed by OpenAI and GitHub that has gained significant attention from the software engineering community. Despite the significant attention received from the software engineering community, there is a lack of comprehensive examination of its effectiveness, reliability, and ethical implications on GitHub Copilot. The absence of a systematic review of GitHub Copilot's recent research trends hinders a thorough understanding of its current state of development and potential impact on software development practices. Therefore, this systematic review aims to analyze the recent trends of research on GitHub Copilot to assess its current state of development, identify gaps in existing knowledge, and provide insights into potential future research directions. This study used PRISMA for searching the relevant databases, screening and selecting eligible studies based on inclusion and exclusion criteria, data extraction and synthesis, and critical appraisal of the quality and relevance of the studies included. The results show that the trend of the studies is focusing on four main areas: developer productivity, code quality, code security and education. "
"Analyzing developer use of chatgpt generated code in open source github projects","https://scispace.com/paper/analyzing-developer-use-of-chatgpt-generated-code-in-open-2cw1xwirk4","2024","Book","","Balreet Grewal
Wentao Lu
Sarah Nadi
Cor-Paul Bezemer","10.1145/3643991.3645072","https://dl.acm.org/doi/pdf/10.1145/3643991.3645072","… conducted an empirical study of 3,044 ChatGPT-generated code snippets integrated within … AI-assisted programming tools. We highlight the importance of making changes in ChatGPT …","The rapid development of large language models such as ChatGPT have made them particularly useful to developers in generating code snippets for their projects. To understand how ChatGPT’s generated code is leveraged by developers, we conducted an empirical study of 3,044 ChatGPT-generated code snippets integrated within GitHub projects. A median of 54% of the generated lines of code is found in the project’s code and this code typically remains unchanged once added. The modifications of the 76 code snippets that changed in a subsequent commit, consisted of minor functionality changes and code reorganizations that were made within a day. Our findings offer insights that help drive the development of AI-assisted programming tools. We highlight the importance of making changes in ChatGPT code before integrating it into a project."
"Generative ai for code generation: Software reuse implications","https://scispace.com/paper/generative-ai-for-code-generation-software-reuse-3uubf0jrxf","2024","Journal Article","Lecture Notes in Computer Science","Georgia M. Kapitsaki","10.1007/978-3-031-66459-5_3","","… Developers are relying on ChatGPT, GitHub Copilot or other tools to accelerate the development process. Previous works have provided an overview of the tools and have compared …",""
"A Systematic Literature Review of the Practical Applications of Artificial Intelligence-Generated Content (AIGC) Using OpenAI ChatGPT, Copilot, and Codex in …","https://scispace.com/paper/XIH_CIgX-rYJ","","","","CI Chang
WC Choi
IC Choi
H Lei","","https://dl.acm.org/doi/pdf/10.1145/3719487.3719519","… education, including evaluating AI performance in solving programming tasks, providing AI-driven code generation and assistance, automating assessment review and feedback, …",""
"How Effective are LLMs for Data Science Coding? A Controlled Experiment","https://scispace.com/paper/how-effective-are-llms-for-data-science-coding-a-controlled-ix71wjyg2q0y","2025","Proceedings Article","","Nathalia Nascimento
Everton Guimaraes
Sai Sanjna Chintakunta
Santhosh Anitha Boominathan","10.1109/msr66628.2025.00041","","… in automating code generation for data science problems. Our contributions are multifold: … However, our findings indicate that only ChatGPT consistently maintains performance across …",""
"Large language models for code generation: A comprehensive survey of challenges, techniques, evaluation, and applications","https://scispace.com/paper/large-language-models-for-code-generation-a-comprehensive-p37hc470i602","2025","Journal Article","arXiv.org","Nam Huynh
Beiyu Lin","10.48550/arxiv.2503.01245","https://arxiv.org/pdf/2503.01245?","… review the existing metrics and benchmarks for evaluations … , GitHub Copilot, ToolGen) in code generation tasks to … overview of LLMs for code generation, helps researchers in diverse …",""
"Where Is Self-admitted Code Generated by Large Language Models on GitHub?","https://scispace.com/paper/j5km1tFyJ70J","","","","X Yu
L Liu
X Hu
J Liu
X Xia","","https://arxiv.org/pdf/2406.19544","… ChatGPT and Copilot dominate code generation, with minimal contributions from other LLMs. (2) Projects containing ChatGPT/… (3) ChatGPT/Copilot-generated code generally is a minor …",""
"Evaluating Code Generation of LLMs in Advanced Computer Science Problems","https://scispace.com/paper/evaluating-code-generation-of-llms-in-advanced-computer-j1zcpo4xtdix","2025","Journal Article","arXiv.org","Emir Catir
Robin Claesson
Rodothea Myrsini Tsoupidi","10.48550/arxiv.2504.14964","https://romits800.github.io/publications/aied2025.pdf","… When we provided the problem prompt in Figure 1 to Github Copilot, the tool generated the code in Listing 1. The code defines a function pack_items, which takes as input the capacity …",""
